seed,method,qerr_gm,max_feedback_resid,mean_feedback_resid
42,marg160,1.219622,0.024131,0.00333785
42,marg_a1.25,1.223766,0.0333577,0.00566618
42,marg_pass4,1.224788,0.0322717,0.00590534
42,marg_pass2,1.224804,0.0326739,0.00592013
42,marg80,1.224898,0.0339569,0.00596276
42,marg_a1,1.224898,0.0339569,0.00596276
42,marg_a0.75,1.227029,0.0351798,0.00674405
42,marg_a0.5,1.231178,0.037549,0.00838641
42,marg40,1.232856,0.0527527,0.00977025
42,marg20,1.243452,0.0704095,0.0148457
42,mix_marg_avi_w0.75,1.283592,0.0742132,0.0229564
42,ipf160,1.327947,0.0027392,0.000115531
